SNo.,Procedure Name,Speciality Classification,Tier,Facility,Ward,Cghs Code No.,Rate (₹)
1736,Repetitive nerve stimulation (RNS)-Decremental response (before and after neostigmine),Neurology Investigation,TIER I,NABH,GENERAL WARD,NI004,1500.00
1750,Twist Drill Craniostomy,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS009,40850.00
1764,Peripheral Nerve Surgery - Major,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS023,59850.00
1778,Spinal Bifida Surgery Major,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS037,59850.00
,needle aspiration (TBNA),,I,,WARD,,
2014,PMMA IOL,Ophthalmology,TIER I,NABH,GENERAL WARD,IMOP07,500(Inclusive of GST).00
2028,Implantable Cardioverter Defibrillator (Dual Chamber) (ICD/AICD- Dual Chamber),Cardiology,TIER I,NABH,GENERAL WARD,IMCP12,"3,75,000+GST.00"
2042,Mitral Valve - Biological,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV08U100,Unlisted.00
2056,Cost of Haemorrhoidectomy Stappler,General Surgery,TIER I,NABH,GENERAL WARD,IMGS01U100,Unlisted.00
2070,Unspecified Implant - Abdomen/GI Surgery,Abdomen/GI Surgery,TIER I,NABH,GENERAL WARD,IMAG04U100,Unlisted.00
2084,Cost of the Graft Used in Carotid Endarterectomy,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS10U100,Unlisted.00
2098,Cost of the Implants Used in Lateral mass C1-C2 screw fixation,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS24U100,Unlisted.00
2112,Cost of the Implants Used in Balloon Kyphoplasty,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS38U100,Unlisted.00
2126,Cost of the Implants Used in Corrective Osteotomy & Internal Fixation- short bones,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR13U100,Unlisted.00
2140,Primary TKR - Oxidized Zirconium (OxZr) Alloy -Tibial Component By Whatsoever Name/ Specifications,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR27,24280+GST.00
,,,I,,WARD,,
2166,Cost of the Implants Used in Spinal Fusion Surgery Cervical/ Lumbar Spine -More than 2 Level,Orthopaedics,TIER I,NABH,GENERAL WARD,IMOR53U100,Unlisted.00
2180,Neck Biopsy-Excisional (TMH - Head & Neck) (G1S6),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH006,4500.00
2194,Thorax (Trucut Biopsy) (TMH - Thoracic & Paediatric) (G1S20),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH020,4500.00
2208,Mandible Curettage (TMH - Head & Neck) (G2S6),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH034,11250.00
2222,Internal Stenting (TMH - G.I. Surgery) (G2S20),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH048,11250.00
2236,Thoracoscopy-Diagnostic (TMH - Thoracic & Paediatric) (G2S34),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH062,11250.00
2250,Microdochectomy (TMH - Breast) (G2S48),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH076,11250.00
2264,Pharyngectomy-Partial (TMH - Head & Neck) (G3S13),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH090,18000.00
2278,Hemiglossectomy - Peroral (TMH - Head & Neck) (G3S27),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH104,18000.00
2292,Gastro-Jejunostomy (TMH - G.I. Surgery) (G3S41),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH118,18000.00
2306,Fibula Lower End Reconstruction (TMH - Bone & Soft Tissue) (G3S55),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH132,18000.00
2320,Ulna Lower End Excision (TMH - Bone & Soft Tissue) (G3S69),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH146,18000.00
2334,Gastric By-Pass (TMH - Thoracic & Paediatric) (G3S83),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH160,18000.00
2348,Burst Abdomen Suturing (TMH - Thoracic & Paediatric) (G3S97),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH174,18000.00
2362,Cystoscopy + DJ Stenting (TMH - Genitourinary / Gynaecology) (G3S111),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH188,18000.00
2376,Buccal/Mucosa Composite Resection/Commando (TMH - Head & Neck) (G4S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH202,22500.00
2390,Laryngectomy - Total (TMH - Head & Neck) (G4S17),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH216,22500.00
2404,Colectomy Subtotal (TMH - G.I. Surgery) (G4S31),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH230,22500.00
2418,Amputation - Forequarter (TMH - Bone & Soft Tissue) (G4S45),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH244,22500.00
2432,Radius Lower End Excision + Wrist Fusion (TMH - Bone & Soft Tissue) (G4S59),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH258,22500.00
2446,Hemipelvectomy (Paediatric) (TMH - Thoracic & Paediatric) (G4S73),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH272,22500.00
2460,Vulvectomy - Radical (TMH - Genitourinary / Gynaecology) (G4S87),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH286,22500.00
2474,Excision of Transnasal Angiofibroma (TMH - Head & Neck) (G5S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH300,31500.00
2488,Knee Arthrodesis with Turnoplasty/Allograft (TMH - Bone & Soft Tissue) (G5S17),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH314,31500.00
2502,Nephrectomy - Radical + IVC Thrombectomy (TMH - Genitourinary / Gynaecology) (G5S31),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH328,31500.00
2516,Nephrectomy - Radical (TMH - Genitourinary / Gynaecology) (G5S45),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH342,31500.00
2530,Abdominosacral Resection (TMH - G.I. Surgery) (G6S9),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH356,40500.00
2544,Thoracoscopic Lobectomy/ Pneumonectomy (TMH - Thoracic & Paediatric) (G6S23),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH370,40500.00
2558,Laparoscopic Retroperitoneal Node Dissection (TMH - Genitourinary / Gynaecology) (G6S38),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH384,40500.00
2572,Groin Node Dissection (Bilateral) (TMH - Genitourinary / Gynaecology) (G6S52),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH398,40500.00
2586,Minor OT - Drugs/Consumables (Without GA),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH412,450.00
