procedure_name,speciality_classification,cost_inr
ALTK- Automated lamellar therapeutic keratoplasty per eye,Ophthalmology Procedure,40482.4895
AMA (Anti Mitochondrial Antibody),Laboratory Investigation,1006.9815
AMH (Anti- Mullerian Hormone),Laboratory Investigation,1003.9142105263156
ANA BLOT,Laboratory Investigation,3014.648947368421
ANA Profile,Laboratory Investigation,2989.1684210526314
AO Compression Procedures for Fracture Neck Femur,Orthopaedics Procedure,50604.3415
ASO Titre /ASLO Titre,Laboratory Investigation,542.5268421052632
Abbe Operation (Abbe flap in plastic surgery of lips),ENT Procedure,26228.96
Abdominal / Peritoneal Aspiration - Diagnostic/Ascitic tapping / Paracentesis -Diagnostic,General Procedure,697.1144999999999
Abdominal / Peritoneal Aspiration - Therapeutic/Ascitic tapping / Paracentesis - Therapeutic,General Procedure,753.142105263158
Abdominal Hysterectomy with or without salpingo-oophorectomy,Obstetrics And Gynaecology Procedure,40975.90294117647
Abdominal Mass Excision,Cancer Surgery,25271.5305
Abdominal Neuroblastoma Excision,Cancer Surgery,56964.65947368421
Abdominal Perineal Pull Through (Hirschsprung's Disease),Paediatric Surgery Procedure,50656.968
Abdomino Perineal urethroplasty,Nephrology And Urology Procedure,50639.127
Abdomino-Perineal Excision of Rectum,Abdomen/GI Surgery Procedure,50871.095
Abdominoperineal Resection,Cancer Surgery,31128.971052631576
Abdominosacral Resection,Cancer Surgery,57107.8855
Above Knee post-slab,Orthopaedics Procedure,2997.6625
Above elbow full plaster,Orthopaedics Procedure,3974.562222222222
Above knee full plaster,Orthopaedics Procedure,5081.19
Above knee full slab,Orthopaedics Procedure,3546.7405
Abscess - Drainage-Dental,Dental Procedure,1514.0365
Absolute Eosinophil Count (AEC),Laboratory Investigation,99.6815
Acetylcholine receptor (AChR) antibody titre,Laboratory Investigation,4476.3355
Achalasia Cardia Abdominal,Abdomen/GI Surgery Procedure,40722.424
Achalasia Cardia Transthoracic,Abdomen/GI Surgery Procedure,40429.49947368421
Acid Phosphatase,Laboratory Investigation,149.28
Activated Partial Thromboplastin Time (APTT),Laboratory Investigation,290.1868421052632
Acute Leukemia RUNX1 mutation detection,Oncology Investigations,5414.083684210526
Acute Leukemia TET2 mutation detection,Oncology Investigations,23137.902
Acute Leukemia TP53 mutation detection,Oncology Investigations,23321.72684210526
Acute Leukemia karyotyping,Oncology Investigations,5468.8665
Acute Leukemia mutation detection (per gene)ASXL1 /c-KIT/DNMT3A/ IDH1 and IDH2 /K RAS and N RAS mutation detection,Oncology Investigations,5354.494210526315
Acute Lymphoblastic Leukemia Mutation Detection,Oncology Investigations,11174.7465
Acute Lymphoblastic Leukemia Transcript Identification,Oncology Investigations,3040.2721052631578
Acute Lymphoblastic leukemia karyotyping,Oncology Investigations,5582.287
Acute Myeloid Leukemia (AML) Panel,Oncology Investigations,13151.0595
Acute Peritoneal Dialysis,Nephrology And Urology Procedure,5246.005999999999
Add Clasp to existing Partial Denture,Dental Procedure,501.1827777777778
Add Tooth to existing Partial Denture,Dental Procedure,395.9436842105263
Adenoidectomy,ENT Procedure,18994.385
Adjuvant Chemotherapy,Chemotherapy,2172.1130000000003
Adrenal Tumor Excision of Nephrectomy,Cancer Surgery,56325.903000000006
Adrenocorticotropic Hormone (ACTH),Laboratory Investigation,1210.5472222222222
After Mastectomy (Reconstruction) Mammoplasty,Burns And Plastic Surgery Procedure,40862.055
Albumin,Laboratory Investigation,49.6385
Alkaline Phosphatase,Laboratory Investigation,151.655
Allergic Bronchopulmonary Aspergillosis (ABPA) Panel,Laboratory Investigation,2896.8225
Allergy Food Screening Panel,Laboratory Investigation,5924.895
Alpha Fetoprotein (AFP),Laboratory Investigation,549.7535
Alveolectomy (Upper) Per Oral,Cancer Surgery,15828.004736842107
Alveoloplasty - Per Quadrant,Dental Procedure,1202.4385
Alveoloplasty - Per Tooth,Dental Procedure,298.9715
Alveolus - Closed Reduction stabilization of Teeth,Dental Procedure,3971.6895
Alveolus - Open Reduction stabilization of Teeth,Dental Procedure,5971.7755
Alveolus Composite resection/Commando,Cancer Surgery,31358.76789473684
Ambulatory BP monitoring per day,Cardiology Investigation,999.8375
Amniocentesis,Obstetrics And Gynaecology Procedure,13528.810999999998
Amniotic membrane grafting /symblepharon release with AMG per eye,Ophthalmology Procedure,12635.655
Amputation (Paediatric),Cancer Surgery,25100.915
Amputation Above Elbow/Below Elbow,Cancer Surgery,24948.885263157896
Amputation Above Knee/Below Knee,Cancer Surgery,25532.684
Amputation Forequarter,Cancer Surgery,31174.774
Amputation Of Fingers/Toes,Cancer Surgery,15610.515
Amputations - Above Elbow,Orthopaedics Procedure,40689.04842105264
Amputations - Above Knee,Orthopaedics Procedure,50097.0625
Amputations - Below Elbow,Orthopaedics Procedure,33417.15894736842
Amputations - Below Knee,Orthopaedics Procedure,40873.8195
Amputations - Forequarter,Orthopaedics Procedure,59939.447
Amputations -Hind Quarter and Hemipelvectomy,Orthopaedics Procedure,71906.8225
"Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)",Laboratory Investigation,1318.1365
Androstenedione,Laboratory Investigation,1008.75
Aneurysm coiling (Endovascular),Neuro-Surgery Procedure,59960.9535
Angiofibroma Excision,ENT Procedure,40973.9405
Angiotensin converting enzyme (ACE),Laboratory Investigation,1005.217
Ankle Arthrodesis,Cancer Surgery,31426.30789473684
Annual Health Check-up - CCS Group A Officer of above 40 years of age / Pensioner primary card holder 75 years of age and above - Female,Annual Health Check-up,2185.932777777778
"Annual Health Check-up - CCS Group A Officer of above 40 years of age / Pensioner primary card holder 75 years of age and above-Male,",Annual Health Check-up,2014.0631578947368
Anorectal manometry,Gastroenterology / Endoscopic Investigation,43266.237
Ant. Mediastinotomy,Cancer Surgery,25084.634736842105
Anterio Lateral Decompression of spine,Neuro-Surgery Procedure,77480.955
Anterior Cervical Discectomy,Neuro-Surgery Procedure,59875.299
Anterior Cervical Spine Surgery with fusion,Neuro-Surgery Procedure,72437.3435
Anterior Cruciate Ligament (ACL) Reconstruction,Orthopaedics Procedure,60241.2905
Anterior Resection of Rectum,Abdomen/GI Surgery Procedure,59407.35263157894
Anterior craniofacial excision,Cancer Surgery,44058.01263157895
Anterior retinal cryopexy per eye,Ophthalmology Procedure,5059.6495
Anterior vitrectomy per eye,Ophthalmology Procedure,8017.4205
Anterolateral Decompression and Spine Fusion,Orthopaedics Procedure,60018.5575
Anterolateral decompression for tuberculosis/ Costo-Transversectomy,Orthopaedics Procedure,41041.93947368421
Anti -Smooth Muscle Antibody Test (ASMA),Laboratory Investigation,1442.303
Anti GBM (Glomerular Basement Membrane) Antibody,Laboratory Investigation,1497.7485
Anti HAV IgM,Laboratory Investigation,737.79
Anti HEV IgM,Laboratory Investigation,994.655
Anti Intrinsic Factor Antibodies,Laboratory Investigation,1995.3505
Anti LKM (Liver Kidney Microsome) Ab,Laboratory Investigation,1515.1694444444445
Anti Parietal Cell Antibodies,Laboratory Investigation,1998.6785
Anti Sperm Antibodies.,Laboratory Investigation,902.516
Anti measles antibody titre (with serum antibody titre),Laboratory Investigation,1196.6063157894737
Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre,Laboratory Investigation,6698.3395
Anti-Cyclic Citrullinated Peptide (Anti CCP),Laboratory Investigation,889.633
Anti-Nuclear Antibodies - IFA,Laboratory Investigation,1615.448
Anti-double stranded DNA (anti-dsDNA),Laboratory Investigation,805.1859999999999
Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA),Laboratory Investigation,806.3340000000001
"Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)",Laboratory Investigation,2123.35
Antinuclear Antibody (ANA),Laboratory Investigation,653.4595
Antrum Puncture,ENT Procedure,3015.648
Aorta Femoral Bypass,Cardiovascular And Cardiac Surgery Procedure,122784.15
Aortic Arch Replacement,Cardiovascular And Cardiac Surgery Procedure,259680.4435
Aortic Dissection,Cardiovascular And Cardiac Surgery Procedure,261589.5065
Aortic Valve Balloon Dilatation (AVBD) / Pulmonary Valve Balloon Dilatation (PVBD),Cardiology Procedure,59095.03684210526
Aortic stent grafting for aortic aneurysm,Cardiovascular And Cardiac Surgery Procedure,171103.408
Apexification with any bio-compatible material,Dental Procedure,1983.9605
Apicectomy-Multiple tooth,Dental Procedure,3020.277
Apicectomy-Single tooth,Dental Procedure,1992.947
Apolipoprotein A1 (ApoA1),Laboratory Investigation,396.8505
Apolipoprotein B (Apo B),Laboratory Investigation,404.794
Appendicectomy,Abdomen/GI Surgery Procedure,19846.5995
Appendicular Abscess - Drainage,Abdomen/GI Surgery Procedure,32935.66894736842
Application for CTEV per sitting,Orthopaedics Procedure,8393.7365
Application of Desensitizing Medicament,Dental Procedure,504.9045
Application of Functional Cast Brace,Orthopaedics Procedure,4058.3505263157895
Application of POP Casts for Upper & Lower Limbs,Orthopaedics Procedure,6034.421578947368
Application of POP Spices & Jackets,Orthopaedics Procedure,6044.963
Application of Skeletal Tractions,Orthopaedics Procedure,6011.6
Application of Skin Traction,Orthopaedics Procedure,2501.4547368421054
Applied Behaviour Analysis based behaviour therapy (ABA based Behaviour therapy) per session of at least 40 minutes,Behavioural therapy,397.9575
Arch bar fixation,Dental Procedure,5011.204736842105
Arcuate keratotomy for astigmatism /Limbal Relaxing Incision - Both Eyes,Ophthalmology Procedure,6766.327
Argon plasma coagulation,Gastroenterology / Endoscopic Procedures,9127.1045
Argon/diode laser for retinal detachment per eye,Ophthalmology Procedure,8319.014
Arterial Colour Doppler Bilateral,Radiological Investigation,1004.8445
Arterio Venous Prosthetic Graft,Nephrology And Urology Procedure,43549.6515
Arteriovenous Fistula for Haemodialysis,Nephrology And Urology Procedure,18876.71210526316
Arteriovenous Shunt for Haemodialysis,Nephrology And Urology Procedure,18999.146842105263
Arthrodesis of - Major Joints,Orthopaedics Procedure,40858.4385
Arthrodesis of - Minor Joints,Orthopaedics Procedure,33310.824
Arthrography,Orthopaedics Investigation,18986.322
Arthrolysis of knee,Orthopaedics Procedure,50529.599
Arthroscopy - Diagnostic,Orthopaedics Procedure,33353.366
Arthroscopy-therapeutic: with implant,Orthopaedics Procedure,50928.1135
Arthroscopy-therapeutic: without implant,Orthopaedics Procedure,40977.9585
Ascending Aorta Replacement,Cardiovascular And Cardiac Surgery Procedure,262145.4605
Aspergillus Fumigatus Specific IgE,Laboratory Investigation,1557.4285
Aspiration & Intra Articular Injections,Orthopaedics Procedure,4978.21
Aspiration Pleural Effusion - Diagnostic,General Procedure,703.7565
Aspiration Pleural Effusion - Therapeutic,General Procedure,699.5654999999999
Atresia of Oesophagus and Tracheo Oesophageal Fistula,Abdomen/GI Surgery Procedure,50413.22473684211
Atrial Septal Defect (ASD) closure excluding the cost of the Device,Cardiovascular And Cardiac Surgery Procedure,104318.28263157896
Atrioventricular(AV) Canal Repair,Cardiovascular And Cardiac Surgery Procedure,224432.34210526315
Augmentation Cystoplasty,Nephrology And Urology Procedure,50144.829000000005
Autograft Flap Reconstruction (Breast),Cancer Surgery,25138.195
Autoimmune Encephalitis Panel,Laboratory Investigation,17114.7595
Autoimmune Hepatitis Profile,Laboratory Investigation,2953.0595000000003
Autoimmune Liver Diseases Profile,Laboratory Investigation,5008.634
Automatic implantable cardioverter defibrillator (AICD) Dual Chamber excluding the cost of Device,Cardiology Procedure,54695.1645
Automatic implantable cardioverter defibrillator (AICD) Single Chamber - excluding the cost of Device,Cardiology Procedure,51265.2715
Axillary Dissection Alone,Cancer Surgery,31588.091
B-cell Acute Lymphoblastic Leukemia (B-ALL) Panel,Oncology Investigations,11680.4615
B.P. Fistula Repair,Cancer Surgery,31671.766842105262
BCL3 rearrangement 19q13.3 / BCL6 rearrangement: 3q27,Oncology Investigations,3492.588421052631
BCOR alteration,Oncology Investigations,6009.736
BCR-ABL by PCR-Quantitative,Oncology Investigations,4035.2989473684206
"BCR/ABL (Ph) duplication, trisomy 8, trisomy 21, TP53 deletion",Oncology Investigations,5976.371
BCR/ABL Ph: t(9;22),Oncology Investigations,3478.209
BD Glenn/Left Atrium Myxoma,Cardiovascular And Cardiac Surgery Procedure,169379.349
BERA (Brain stem evoked response audiometry),ENT Investigation,2518.398
BRAF,Oncology Investigations,8983.225263157894
BRCA1 & BRCA2,Oncology Investigations,20239.557500000003
Baclofen pump implantation for spasticity/Intra-thecal Pump Implantation,Neuro-Surgery Procedure,33137.4455
Baclofen pump implantation lesioning for movement disorder including Parkinsonism/Spinal Cord Stimulator Implantation,Neuro-Surgery Procedure,72785.742
Bacterial culture and sensitivity - Aerobic,Laboratory Investigation,457.367
Bacterial culture and sensitivity - Anaerobic,Laboratory Investigation,698.5622222222223
Ball bandage,Orthopaedics Procedure,800.049
Balloon Coronary Angioplasty / Percutaneous transluminal coronary angioplasty (PTCA) / Percutaneous coronary intervention (PCI) without Vascular closure device (VCD) excluding the cost of Stent.Cost of Drug Eluting Balloon allowed in lieu of Stent,Cardiology Procedure,79473.086
Balloon Coronary Angioplasty / Percutaneous transluminal coronary angioplasty (PTCA) /Percutaneous coronary intervention (PCI) with Vascular closure device (VCD) excluding the cost of Stent. Cost of Drug Eluting Balloon allowed in lieu of Stent,Cardiology Procedure,91683.60894736844
Balloon Kyphoplasty,Neuro-Surgery Procedure,60564.4705
Balloon Mitral Valvotomy / Percutaneous Transvenous Mitral Commissurotomy (PTMC),Cardiology Procedure,92211.7745
Balloon Septostomy,Cardiology Procedure,31171.786666666667
Balloon Tamponade for Post Partum Haemorrhage/Conservative management of PPH(Atonic/traumatic PPH),Obstetrics And Gynaecology Procedure,8054.368947368422
Balloon dilatation of achalasia cardia,Gastroenterology / Endoscopic Procedures,12683.8395
Balloon dilatation of papilla,Gastroenterology / Endoscopic Procedures,18892.856
Balloon-Occluded Retrograde Intravenous Obliteration (BRTO),Gastroenterology/Interventional Radiology Procedures,50627.995
Band ligation of oesophageal varices,Gastroenterology / Endoscopic Procedures,8522.457
Bandage & Strappings for Fractures,Orthopaedics Procedure,1994.2695
Bandage contact lenses for corneal perforation/PED per eye,Ophthalmology Procedure,1997.405
Bankart Repair Shoulder,Orthopaedics Procedure,59419.54842105263
Barium Enema (Single contrast/double contrast),Radiological Investigation,2005.0395
Barium Meal follow through,Radiological Investigation,2006.3084210526315
Barium Swallow,Radiological Investigation,1199.5645
Barium Upper GI study,Radiological Investigation,1496.681
Barium Upper GI study (Double contrast),Radiological Investigation,1998.1505
Battery Placement for Deep Brain Stimulation (DBS),Neuro-Surgery Procedure,33338.770000000004
Below Knee full plaster,Orthopaedics Procedure,4014.9555
Below Knee post-slab,Orthopaedics Procedure,5003.766315789474
Bence Jones Protein,Laboratory Investigation,99.1345
Benign Tumour Excisions of Head and Neck,Head and Neck Surgery,26046.485
Bentall Repair with Biologic Valve,Cardiovascular And Cardiac Surgery Procedure,225760.3955
Bentall Repair with Prosthetic Valve,Cardiovascular And Cardiac Surgery Procedure,262129.427
Beta 2 microglobulin (B2M) /_2 microglobulin,Laboratory Investigation,595.752
Beta-D-Glucan Assay,Laboratory Investigation,15000.684
Biceps Tenodesis,Orthopaedics Procedure,50440.759
Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure,5925.916842105263
Bilateral Mastectomy,Cancer Surgery,31640.647
Bilateral Orchiectomy,Cancer Surgery,15786.5855
Biliary Manometry,Gastroenterology / Endoscopic Investigation,42761.81789473684
Biliary stenting (plastic and metallic) by ERCP,Gastroenterology / Endoscopic Procedures,19302.0855
Biofeedback per session,Behavioural therapy,2984.7045
Biophysical score / Biophysical profile test (BPP test),Radiological Investigation,1491.6305
Biopsy Needle,Cancer Surgery,6918.5965
Biopsy Open,Cancer Surgery,15758.579000000002
Biopsy of Bladder (Cystoscopic) including (Cold Cup Biopsy),Nephrology And Urology Procedure,13428.214499999998
"Biopsy of Oral tissue - Hard (bone, tooth)",Dental Biopsy,2002.5945
Biopsy of Oral tissue- Soft,Dental Biopsy,1196.908
Bite Excision/Composite.,Cancer Surgery,31506.234000000004
Bladder Tumor Trans Urethral Resection,Cancer Surgery,31625.788
Blalock-Taussig Shunt (BT Shunt) / Coarctation,Cardiovascular And Cardiac Surgery Procedure,144147.15649999998
Bleb compression sutures per eye,Ophthalmology Procedure,6976.398421052632
Bleb needling with MMC/5-FU per eye,Ophthalmology Procedure,7910.916999999999
Bleb repair with conjunctival autograft per eye,Ophthalmology Procedure,14187.7775
"Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)",Laboratory Investigation,798.3215
Bleeding Time,Laboratory Investigation,50.367
Blood Component Charges - Cryoprecipitate,Blood Component Charges,248.4185
Blood Component Charges - Fresh Frozen Plasma,Blood Component Charges,402.218
Blood Component Charges - Packed Red Cell per Unit,Blood Component Charges,1556.7635
Blood Component Charges - Whole Blood per Unit,Blood Component Charges,1555.0855
Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP,Laboratory Investigation,40.029
Blood Group & Rh Type,Laboratory Investigation,89.301
Blood Urea Nitrogen (BUN) / Urea,Laboratory Investigation,99.78105263157894
Blood gas analysis / Arterial Blood Gas (ABG),Laboratory Investigation,553.289
Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes,Laboratory Investigation,793.6445
"Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.",Laboratory Investigation,300.5125
Body Fluid for Malignant cells,Laboratory Investigation,350.982
Bone Grafting,Cancer Surgery,24967.125789473685
Bone Grafting,Orthopaedics Procedure,26092.9045
Bone Marrow Aspiration and Biopsy,Biopsies,8413.295263157894
Bone Marrow Smear Examination,Laboratory Investigation,349.701
Bone Marrow Smear Examination and Cytochemistry,Laboratory Investigation,11953.1745
Bone Marrow Smear Examination with Iron Stain,Laboratory Investigation,804.501
Bone replacement graft for ridge preservation - per site,Dental Procedure,2014.1055
Botulinum injection for blepharospasm or squint /epiphora/entropion/lid retraction (excluding cost of drug) per eye,Ophthalmology Procedure,4991.9235
Brachial Plexus Exploration and neurotization,Neuro-Surgery Procedure,59954.0085
Brachial plexus study,Neurology Investigation,1512.5305
Brain / Heart FDG PET CT Scan,Nuclear Medicine Investigation,14385.94157894737
Brain Abscess Tapping,Neuro-Surgery Procedure,26058.72157894737
Brain Biopsy,Neuro-Surgery Biopsy,40311.09052631579
Brain Mapping,Neuro-Surgery Investigation,27454.6565
Brain Perfusion SPECT Scan with Technetium 99m radiopharmaceuticals.,Nuclear Medicine Investigation,13432.2615
Breast Lumpectomy + Axilla Dissection,Cancer Surgery,31445.5685
Breast Lumpectomy Alone,Cancer Surgery,15651.327777777778
Breath Tests (Urea breath test/ H. pylori breath test)/RUT,Gastroenterology / Endoscopic Investigation,2890.5
Bridge/ Fixed Partial denture (per missing/ extracted tooth) metal crown,Dental Procedure,2022.6231578947368
Bridge/ Fixed Partial denture (per missing/ extracted tooth) metal crown with Ceramic facing,Dental Procedure,3004.058
Bronchial Sleeve Resection,Cancer Surgery,31686.840000000004
Bronchial Stent Placement,Cancer Surgery,25131.7435
Bronchial Vascular Sleeve,Cancer Surgery,44244.9005
Bronchoscopy Diagnostic,Cancer Surgery,6944.813684210526
Bronchoscopy Therapeutic,Cancer Surgery,15830.513684210528
Bronchoscopy with foreign body (FB) removal,ENT Procedure,13449.697368421052
Brucella serology,Laboratory Investigation,450.028
Buccal/Mucosa Composite resection/Commando.,Cancer Surgery,31310.27105263158
Buccal/Mucosa wide excision Cheek Flap,Cancer Surgery,25313.797
Buccal/Mucosa wide excision Peroral,Cancer Surgery,25098.228
Bucket handle procedure for lid tumours per eye (for non-malignant conditions),Ophthalmology Procedure,12861.9915
Buckle removal per eye,Ophthalmology Procedure,8448.157894736842
Bulla Stapling,Cancer Surgery,25155.8255
Burr hole evacuation of chronic subdural haematoma,Neuro-Surgery Procedure,59922.6865
Burst Abdomen Suturing,Cancer Surgery,25088.0205
Burst-Abdomen Repair,Obstetrics And Gynaecology Procedure,33607.8245
C ANCA-IFA,Laboratory Investigation,1498.7935
C-Peptide (Connecting Peptide),Laboratory Investigation,747.3172222222222
C-Reactive Protein (CRP),Laboratory Investigation,246.6568421052632
C-Reactive Protein (CRP) Quantitative,Laboratory Investigation,302.309
C1 Esterase inhibitor (Quantitative ),Laboratory Investigation,2398.7735
C3-COMPLEMENT,Laboratory Investigation,653.135
C3F8 GAS Injection intravitreal for descemetopexy/retinopexy/pneumatopexy (per eye),Ophthalmology Procedure,4999.6195
C3d Single Allele Antibody for HLA Class I (C3dLSA Class I) /C3d Single Allele Antibody for HLA Class II (C3dLSA Class II),Oncology Investigations,17460.758421052633
C4-COMPLEMENT,Laboratory Investigation,647.0326315789473
CABG without bypass.,Cardiovascular And Cardiac Surgery Procedure,221435.9845
CAN ASSIST,Oncology Investigations,49799.11
CCND1/IgH: t(11;14),Oncology Investigations,4680.169
CD 19 and CD 20,Oncology Investigations,1499.1105
"CD 3,4 and 8 Counts",Laboratory Investigation,1237.255263157895
"CD 3,4 and 8 Percentage",Laboratory Investigation,1501.043
CK MB Mass/CPK MB Mass,Laboratory Investigation,360.367
CLINICAL EXOME SEQUENCING,Oncology Investigations,15124.179500000002
CLL PANEL FISH,Oncology Investigations,9942.996
CML Blast Crisis karyotyping,Oncology Investigations,5470.5395
CMV Quantitative (Viral load) Test,Laboratory Investigation,2298.357
CPK MB/CK MB,Laboratory Investigation,361.3595
CSF Rhinorrhoea Repair,Neuro-Surgery Procedure,60006.378
"CSF/Any Body Fluid for Basic studies including cell count, protein, sugar, gram stain, India Ink preparation and smear for AFB",Laboratory Investigation,346.31157894736845
CT Angio-Neck Vessels,Radiological Investigation,5989.651666666667
CT Angiography Entire Aorta ( CT Aortogram),Radiological Investigation,10016.27947368421
CT Coronary Angiography including Calcium Score Test,Radiological Investigation,9167.348421052631
CT Guided Intervention -Percutaneous catheter drainage/tube placement excluding the cost of tube /catheter,Interventional Radiological Procedure,3473.182
CT Guided biopsy including all the consumables,Interventional Radiology Procedure,9133.6455
CT Scan / Cone Beam CT (CBCT) Dental,Radiological Investigation,1486.292105263158
CT Scan Angiography Abdomen,Radiological Investigation,5173.807368421052
CT Scan Angiography Chest,Radiological Investigation,5197.072
CT Scan Chest - without contrast (for lungs),Radiological Investigation,2016.9265
CT Scan Enteroclysis,Radiological Investigation,6895.025500000001
CT Scan Head / Brain- with Contrast -including CT angiography,Radiological Investigation,2231.5625
CT Scan Head/ Brain-Without Contrast / NCCT Head/Brain,Radiological Investigation,1038.6735
CT Scan Limbs -With Contrast including CT angiography,Radiological Investigation,5772.8675
CT Scan Limbs -Without Contrast,Radiological Investigation,2794.3225
CT Scan Lower Abdomen (Incl. Pelvis) Without Contrast / CT KUB without Contrast,Radiological Investigation,3508.2315000000003
CT Scan Lower Abdomen (incl. Pelvis) With Contrast/ CT KUB with Contrast,Radiological Investigation,4464.611111111111
CT Scan Neck - With Contrast,Radiological Investigation,3487.171
CT Scan Neck - Without Contrast,Radiological Investigation,2504.2670000000003
CT Scan Orbits - With Contrast,Radiological Investigation,3238.462
CT Scan Orbits - Without Contrast,Radiological Investigation,2185.34105263158
"CT Scan Spine (Cervical, Dorsal, Lumbar,Sacral)-without Contrast",Radiological Investigation,2784.905
CT Scan Temporal bone - without contrast,Radiological Investigation,2499.483
CT Scan Whole Abdomen With Contrast,Radiological Investigation,5116.171
CT Scan Whole Abdomen Without Contrast,Radiological Investigation,3460.284
CT Scan of Para Nasal Sinuses (CT PNS)- With Contrast,Radiological Investigation,3301.148333333333
CT Scan of Para Nasal Sinuses (CT PNS)- Without Contrast,Radiological Investigation,2287.1925
CT Urography,Radiological Investigation,4518.188
Caecostomy,Abdomen/GI Surgery Procedure,33401.72684210526
Caesarean Section(CS) with or without Sterilization including Routine New Born Care,Obstetrics And Gynaecology Procedure,50604.0965
Caesarian Delivery of High Risk Pregnancy(Preeclampsia/Eclampsia/GDM/Cardiac/Vascular/Renal/Pulmonary/Twin Pregnancy/RA/SLE/IVF Conception/Severe Anaemia),Obstetrics And Gynaecology Procedure,60143.7385
Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3),Laboratory Investigation,1001.703
Calcitonin,Laboratory Investigation,1184.007368421053
Caldwel luc Operation TMH,Cancer Surgery,6931.443499999999
Canaliculoplasty per eye,Ophthalmology Procedure,5317.123684210526
Cancer Antigen 125 (CA 125),Laboratory Investigation,799.8025
Cancer Antigen 15.3 (CA 15.3),Laboratory Investigation,799.2615
Cancer Antigen 19.9 (CA 19.9),Laboratory Investigation,800.606
Cantholysis and canthotomy- Both Eyes,Ophthalmology Procedure,3542.408421052631
Capsule endoscopy excluding the cost of capsule,Gastroenterology / Endoscopic Procedures,12620.22789473684
Capsulotomy of Shoulder,Orthopaedics Procedure,50005.356
Carbamazepine.,Laboratory Investigation,706.0768421052632
Carcinoembryonic Antigen (CEA),Laboratory Investigation,595.86
Cardiac CT scan,Radiological Investigation,6483.856
Cardiac Catheterization (CATH),Cardiology Investigation,14964.6255
Cardiac PET,Radiological Investigation,9197.537
Carotid Doppler Bilateral,Radiological Investigation,1007.5425
Carotid Stenting excluding the cost of Stent,Neuro-Surgery Procedure,60121.355
Carpel Tunnel decompression,Neuro-Surgery Procedure,40923.88789473684
Cartilage Grafting,Burns And Plastic Surgery Procedure,40779.9425
Cataract extraction with IOL with capsular tension rings (Cionni-s ring)(cost of the ring included) excluding the cost of IOL per eye,Ophthalmology Procedure,33105.2105
Catheter cost of Intracoronary optical coherence tomography (OCT) / Intravascular optical coherence tomography (IVOCT) / Intravascular Ventricular Assist System excluding GST(Procedure cost is included in PTCA),Cardiology Add on Procedure,64515.998
