sno,procedure_name,speciality,tier,facility,ward,cghs_code,rate
22,ABO incompatible Transplantation,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU099,570000.0
23,AC wash per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP078,5000.0
24,ADA( Adenosine deaminase),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB184,650.0
25,ALK -1,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA013,4690.0
26,ALK rearrangement: 2p23,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA014,4690.0
27,ALT-Argon laser trabeculoplasty per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP083,5000.0
28,ALTK- Automated lamellar therapeutic keratoplasty per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP023,40850.0
29,AMA (Anti Mitochondrial Antibody),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB280,1000.0
30,AMH (Anti- Mullerian Hormone),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB281,1000.0
31,ANA BLOT,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB282,3000.0
32,ANA Profile,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB283,3000.0
33,AO Compression Procedures for Fracture Neck Femur,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR049,50350.0
34,ASO Titre /ASLO Titre,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB288,540.0
35,Abbe Operation (Abbe flap in plastic surgery of lips),ENT Procedure,TIER I,NABH,GENERAL WARD,EP070,26125.0
36,Abdominal / Peritoneal Aspiration - Diagnostic/Ascitic tapping / Paracentesis -Diagnostic,General Procedure,TIER I,NABH,GENERAL WARD,GP004,700.0
37,Abdominal / Peritoneal Aspiration - Therapeutic/Ascitic tapping / Paracentesis - Therapeutic,General Procedure,TIER I,NABH,GENERAL WARD,GP005,750.0
38,Abdominal Mass Excision (TMH - G.I. Surgery) (G3S30),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH107,18000.0
39,Abdominal Perineal Pull Through (Hirschsprung's Disease),Paediatric Surgery Procedure,TIER I,NABH,GENERAL WARD,PS021,50350.0
40,Abdomino Perineal urethroplasty,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU065,50350.0
41,Abdomino-Perineal Excision of Rectum,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG081,50350.0
42,Abdominoperineal Resection (TMH - G.I. Surgery) (G4S23),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH222,22500.0
43,Abdominosacral Resection (TMH - G.I. Surgery) (G6S9),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH356,40500.0
44,Above Knee post-slab,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR009,3000.0
45,Above elbow full plaster,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR008,4000.0
46,Above knee full plaster,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR013,5000.0
47,Above knee full slab,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR014,3500.0
48,Abscess - Drainage-Dental,Dental Procedure,TIER I,NABH,GENERAL WARD,DP001,1500.0
49,Absolute Eosinophil Count (AEC),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB015,100.0
50,Acetylcholine receptor (AChR) antibody titre,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB193,4500.0
51,Achalasia Cardia Abdominal,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG006,40850.0
52,Achalasia Cardia Transthoracic,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG005,40850.0
53,Acid Phosphatase,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB108,150.0
54,Activated Partial Thromboplastin Time (APTT),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB025,290.0
55,Acute Leukemia RUNX1 mutation detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA006,5390.0
56,Acute Leukemia TET2 mutation detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA007,23020.0
57,Acute Leukemia TP53 mutation detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA008,23020.0
58,Acute Leukemia karyotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA004,5545.0
59,Acute Leukemia mutation detection (per gene)ASXL1 /c-KIT/DNMT3A/ IDH1 and IDH2 /K RAS and N RAS mutation detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA005,5390.0
60,Acute Lymphoblastic Leukemia Mutation Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA010,11040.0
61,Acute Lymphoblastic Leukemia Transcript Identification,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA011,3020.0
62,Acute Lymphoblastic leukemia karyotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA009,5545.0
63,Acute Myeloid Leukemia (AML) Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA012,13370.0
64,Acute Peritoneal Dialysis,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU124,5300.0
65,Add Clasp to existing Partial Denture,Dental Procedure,TIER I,NABH,GENERAL WARD,DP066,500.0
66,Add Tooth to existing Partial Denture,Dental Procedure,TIER I,NABH,GENERAL WARD,DP067,400.0
67,Adenoidectomy,ENT Procedure,TIER I,NABH,GENERAL WARD,EP049,19000.0
68,Adjuvant Chemotherapy,Chemotherapy,TIER I,NABH,GENERAL WARD,CT004,2200.0
69,Adrenocorticotropic Hormone (ACTH),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB159,1200.0
70,After Mastectomy (Reconstruction) Mammoplasty,Burns And Plastic Surgery Procedure,TIER I,NABH,GENERAL WARD,BP030,40850.0
71,Albumin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB072,50.0
72,Alkaline Phosphatase,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB107,150.0
73,Allergic Bronchopulmonary Aspergillosis (ABPA) Panel,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB278,2900.0
74,Allergy Food Screening Panel,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB279,6000.0
75,Alpha Fetoprotein (AFP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB144,550.0
76,Alveolectomy (Upper) Per Oral (TMH - Head & Neck) (G2S1),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH029,11250.0
77,Alveoloplasty - Per Quadrant,Dental Procedure,TIER I,NABH,GENERAL WARD,DP018,1200.0
78,Alveoloplasty - Per Tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP017,300.0
79,Alveolus - Closed Reduction stabilization of Teeth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP086,4000.0
80,Alveolus - Open Reduction stabilization of Teeth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP087,6000.0
81,Alveolus Composite Resection/Commando (TMH - Head & Neck) (G4S1),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH200,22500.0
82,Ambulatory BP monitoring per day,Cardiology Investigation,TIER I,NABH,GENERAL WARD,CI004,1000.0
83,Amniocentesis,Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG057,13400.0
84,Amniotic membrane grafting /symblepharon release with AMG per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP116,12730.0
85,Amputation (Paediatric) (TMH - Thoracic & Paediatric) (G3S75),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH152,18000.0
86,Amputation - Forequarter (TMH - Bone & Soft Tissue) (G4S45),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH244,22500.0
87,Amputation Above Elbow/Below Elbow (TMH - Bone & Soft Tissue) (G3S51),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH128,18000.0
88,Amputation Above Knee/Below Knee (TMH - Bone & Soft Tissue) (G3S52),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH129,18000.0
89,Amputation Of Fingers/Toes (TMH - Bone & Soft Tissue) (G2S23),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH051,11250.0
90,Amputations - Above Elbow,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR073,40850.0
91,Amputations - Above Knee,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR072,50350.0
92,Amputations - Below Elbow,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR071,33250.0
93,Amputations - Below Knee,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR070,40850.0
94,Amputations - Forequarter,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR074,59850.0
95,Amputations -Hind Quarter and Hemipelvectomy,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR075,72200.0
96,"Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB097,1320.0
97,Anaesthesia Fees - Grade I,Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH404,2430.0
98,Anaesthesia Fees - Grade II,Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH405,4500.0
99,Anaesthesia Fees - Grade III,Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH406,7200.0
100,Anaesthesia Fees - Grade IV,Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH407,9000.0
101,Anaesthesia Fees - Grade V,Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH408,12600.0
102,Anaesthesia Fees - Grade VI,Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH409,16200.0
103,Androstenedione,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB172,1000.0
104,Aneurysm coiling (Endovascular),Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS069,59850.0
105,Angiofibroma Excision,ENT Procedure,TIER I,NABH,GENERAL WARD,EP030,40850.0
106,Angiotensin converting enzyme (ACE),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB253,1000.0
107,Ankle Arthrodesis (TMH - Bone & Soft Tissue) (G4S63),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH262,22500.0
108,Annual Health Check-up - CCS Group A Officer of above 40 years of age / Pensioner primary card holder 75 years of age and above - Female,Annual Health Check-up,TIER I,NABH,GENERAL WARD,HC002,2200.0
109,"Annual Health Check-up - CCS Group A Officer of above 40 years of age / Pensioner primary card holder 75 years of age and above-Male,",Annual Health Check-up,TIER I,NABH,GENERAL WARD,HC001,2000.0
110,Anorectal manometry Gastroenterology / Endoscopic Investigation,,TIER I,NABH,GENERAL WARD,GI011,43000.0
111,Anterio Lateral Decompression of spine,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS027,77900.0
112,Anterior Cervical Discectomy,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS020,59850.0
113,Anterior Cervical Spine Surgery with fusion,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS026,72200.0
114,Anterior Craniofacial Excision (TMH - Head & Neck) (G5S1),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH298,31500.0
115,Anterior Cruciate Ligament (ACL) Reconstruction,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR099,59850.0
116,Anterior Mediastinotomy (TMH - Thoracic & Paediatric) (G3S76),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH153,18000.0
117,Anterior Resection of Rectum,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG082,59850.0
118,Anterior retinal cryopexy per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP067,5000.0
119,Anterior vitrectomy per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP092,8000.0
120,Anterolateral Decompression and Spine Fusion,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR061,59850.0
121,Anterolateral decompression for tuberculosis/ Costo-Transversectomy,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR060,40850.0
122,Anti -Smooth Muscle Antibody Test (ASMA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB250,1460.0
123,Anti GBM (Glomerular Basement Membrane) Antibody,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB284,1500.0
124,Anti HAV IgM,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB261,750.0
125,Anti HEV IgM,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB260,1000.0
126,Anti Intrinsic Factor Antibodies,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB287,2000.0
127,Anti LKM (Liver Kidney Microsome) Ab,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB285,1500.0
128,Anti Parietal Cell Antibodies,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB286,2000.0
129,Anti Sperm Antibodies.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB177,900.0
130,Anti measles antibody titre (with serum antibody titre),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB207,1200.0
131,Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB194,6700.0
132,Anti-Cyclic Citrullinated Peptide (Anti CCP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB156,900.0
133,Anti-Nuclear Antibodies - IFA,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB316,1600.0
134,Anti-double stranded DNA (anti-dsDNA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB085,800.0
135,Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB157,800.0
136,"Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB209,2100.0
137,Antinuclear Antibody (ANA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB084,655.0
138,Antrum Puncture,ENT Procedure,TIER I,NABH,GENERAL WARD,EP027,3000.0
139,Aorta Femoral Bypass,Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV021,122550.0
140,Aorta Femoral Bypass Graft,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV14U100,0.0
141,Aortic Arch Replacement,Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV028,260300.0
142,Aortic Dissection,Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV029,260300.0
143,Aortic Graft(Ascending Aorta/Arch of Aorta/Descending Aorta(Thoracic/Abdominal),Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV15U100,0.0
144,"Aortic Stent Graft (expandable, bifurcated and including delivery system)",Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV16,440960.0
145,Aortic Valve - Biological,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV06U100,0.0
146,Aortic Valve - Mechanical,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV05U100,0.0
147,Aortic Valve Balloon Dilatation (AVBD) / Pulmonary Valve Balloon Dilatation (PVBD),Cardiology Procedure,TIER I,NABH,GENERAL WARD,CP017,58938.0
148,Aortic stent grafting for aortic aneurysm,Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV038,171000.0
149,Apexification with any bio-compatible material,Dental Procedure,TIER I,NABH,GENERAL WARD,DP037,2000.0
150,Apicectomy-Multiple tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP036,3000.0
151,Apicectomy-Single tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP035,2000.0
152,Apolipoprotein A1 (ApoA1),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB130,400.0
153,Apolipoprotein B (Apo B),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB131,400.0
154,Appendicectomy,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG045,19855.0
155,Appendicular Abscess - Drainage,Abdomen/GI Surgery Procedure,TIER I,NABH,GENERAL WARD,AG046,33250.0
156,Application for CTEV per sitting,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR109,8500.0
157,Application of Desensitizing Medicament,Dental Procedure,TIER I,NABH,GENERAL WARD,DP024,500.0
158,Application of Functional Cast Brace,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR032,4000.0
159,Application of POP Casts for Upper & Lower Limbs,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR031,6000.0
160,Application of POP Spices & Jackets,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR037,6000.0
161,Application of Skeletal Tractions,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR034,6000.0
162,Application of Skin Traction,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR033,2500.0
163,Applied Behaviour Analysis based behaviour therapy (ABA based Behaviour therapy) per session of at least 40 minutes,Behavioural therapy,TIER I,NABH,GENERAL WARD,BT003,400.0
164,Arch bar fixation,Dental Procedure,TIER,NABH,GENERAL,DP088,5000.0
165,Arcuate keratotomy for astigmatism /Limbal Relaxing Incision - Both Eyes,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP015,6800.0
166,Argon plasma coagulation,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG012,9200.0
167,Argon/diode laser for retinal detachment per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP086,8500.0
168,Arterial Colour Doppler Bilateral,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI029,1000.0
169,Arterio Venous Prosthetic Graft,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU114,43000.0
170,Arteriovenous Fistula for Haemodialysis,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU106,19000.0
171,Arteriovenous Shunt for Haemodialysis,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU107,19000.0
172,Arthrodesis of - Major Joints,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR065,40850.0
173,Arthrodesis of - Minor Joints,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR064,33250.0
174,Arthrography,Orthopaedics Investigation,TIER I,NABH,GENERAL WARD,OR078,19000.0
175,Arthrolysis of knee,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR106,50350.0
176,Arthroscopy - Diagnostic,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR079,33250.0
177,Arthroscopy-therapeutic: with implant,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR081,50350.0
178,Arthroscopy-therapeutic: without implant,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR080,40850.0
179,Ascending Aorta Replacement,Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV017,260300.0
180,Aspergillus Fumigatus Specific IgE,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB289,1550.0
181,Aspiration & Intra Articular Injections,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR036,5000.0
182,Aspiration Pleural Effusion - Diagnostic,General Procedure,TIER I,NABH,GENERAL WARD,GP002,700.0
183,Aspiration Pleural Effusion - Therapeutic,General Procedure,TIER I,NABH,GENERAL WARD,GP003,700.0
184,Atrial Septal Defect (ASD) Closure Device,Cardiovascular And Cardiac Surgery,TIER I,NABH,GENERAL WARD,IMCV02U100,0.0
185,Atrial Septal Defect (ASD) closure excluding the cost of the Device,Cardiovascular And,TIER,NABH,GENERAL,CV004,104500.0
186,Atrioventricular(AV) Canal Repair,Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV010,224200.0
187,Augmentation Cystoplasty,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU048,50350.0
188,Autograft Flap Reconstruction (Breast) (TMH - Plastic & Reconstructive) (G3S115),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH192,18000.0
189,Autoimmune Encephalitis Panel,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB290,17000.0
190,Autoimmune Hepatitis Profile,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB291,2960.0
191,Autoimmune Liver Diseases Profile,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB317,5000.0
192,Automatic implantable cardioverter defibrillator (AICD) Dual Chamber excluding the cost of Device,Cardiology Procedure,TIER I,NABH,GENERAL WARD,CP010,54706.0
193,Automatic implantable cardioverter defibrillator (AICD) Single Chamber - excluding the cost of Device,Cardiology Procedure,TIER I,NABH,GENERAL WARD,CP009,52250.0
194,Axillary Dissection Alone (TMH - Breast) (G4S95),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH294,22500.0
195,B-cell Acute Lymphoblastic Leukemia (B-ALL) Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA015,11570.0
196,B.P. Fistula Repair (TMH - Thoracic & Paediatric) (G4S67),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH266,22500.0
197,BCL3 rearrangement 19q13.3 / BCL6 rearrangement: 3q27,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA016,3485.0
198,BCOR alteration,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA017,6050.0
199,BCR-ABL by PCR-Quantitative,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA020,4000.0
200,"BCR/ABL (Ph) duplication, trisomy 8, trisomy 21, TP53 deletion",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA018,6095.0
201,BCR/ABL Ph: t(9;22),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA019,3485.0
202,BD Glenn/Left Atrium Myxoma,Cardiovascular And Cardiac Surgery Procedure,TIER I,NABH,GENERAL WARD,CV007,171000.0
203,BERA (Brain stem evoked response audiometry),ENT Investigation,TIER I,NABH,GENERAL WARD,EI007,2500.0
204,BRAF,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA021,9000.0
205,BRCA1 & BRCA2,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA022,20000.0
206,Baclofen pump implantation for spasticity/Intra-thecal Pump Implantation,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS084,33250.0
207,Baclofen pump implantation lesioning for movement disorder including Parkinsonism,Neuro-Surgery,TIER I,NABH,GENERAL WARD,IMNS25U100,0.0
208,Baclofen pump implantation lesioning for movement disorder including Parkinsonism/Spinal Cord Stimulator Implantation,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS061,72200.0
209,Bacterial culture and sensitivity - Aerobic,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB203,460.0
210,Bacterial culture and sensitivity - Anaerobic,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB204,700.0
211,Ball bandage,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR030,800.0
212,Balloon Coronary Angioplasty / Percutaneous transluminal coronary,Cardiology Procedure,TIER,NABH,GENERAL,CP002,79539.0
213,Balloon Coronary Angioplasty / Percutaneous transluminal coronary,Cardiology Procedure,TIER,NABH,GENERAL,CP001,92150.0
214,Balloon Kyphoplasty,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS087,59850.0
215,Balloon Mitral Valvotomy / Percutaneous Transvenous Mitral,Cardiology Procedure,TIER,NABH,GENERAL,CP004,92150.0
216,Balloon Septostomy,Cardiology Procedure,TIER I,NABH,GENERAL WARD,CP016,31350.0
217,Balloon Tamponade for Post Partum Haemorrhage/Conservative management of PPH(Atonic/traumatic PPH),Obstetrics And Gynaecology Procedure,TIER I,NABH,GENERAL WARD,OG045,8075.0
218,Balloon dilatation of achalasia cardia,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG006,12730.0
219,Balloon dilatation of papilla,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG036,19000.0
220,Balloon-Occluded Retrograde Intravenous Obliteration (BRTO),Gastroenterology/ Interventional Radiology Procedures,TIER I,NABH,GENERAL WARD,MG042,50350.0
221,Band ligation of oesophageal varices,Gastroenterology / Endoscopic Procedures,TIER I,NABH,GENERAL WARD,MG009,8500.0
222,Bandage & Strappings for Fractures,Orthopaedics Procedure,TIER I,NABH,GENERAL WARD,OR035,2000.0
223,Bandage contact lenses for corneal perforation/PED per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP010,2000.0
224,Bankart Repair Shoulder Orthopaedics Procedure,,TIER I,NABH,GENERAL WARD,OR102,59850.0
225,Bare Metal Coronary stents (cobalt and other coated stents),Cardiology,TIER I,NABH,GENERAL WARD,IMCP02,12000.0
226,Barium Enema (Single contrast/double contrast),Radiological Investigation,TIER I,NABH,GENERAL WARD,RI048,2000.0
227,Barium Meal follow through,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI047,2000.0
228,Barium Swallow,Radiological Investigation,TIER I,NABH,GENERAL WARD,RI044,1200.0
