sno,procedure_name,speciality,tier,facility,ward,cghs_code,rate
862.0,Perimetry /Humphrey Visual Field (HVF ) test- Automated- Both Eyes,Ophthalmology Investigation,TIER I,NABH,GENERAL WARD,OI006,800.0
876.0,Diurnal variation of IOP - Both Eyes,Ophthalmology Investigation,TIER I,NABH,GENERAL WARD,OI020,1500.0
890.0,Subconjunctival/sub-tenon-s injections in one eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP001,500.0
904.0,Arcuate keratotomy for astigmatism /Limbal Relaxing Incision - Both Eyes,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP015,6800.0
918.0,Dacryocystorhinostomy-Plain,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP029,12730.0
932.0,Entropion surgery- both lids,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP043,13400.0
946.0,Telecanthus correction- Both Eyes,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP057,12730.0
960.0,Trabeculotomy /kahook dual blade goniotomy excluding blade cost per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP071,19000.0
974.0,PTK- Phototherapeutic keratectomy /PRK for keratoconus per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP085,13400.0
988.0,Small Incision Cataract Surgery (SICS) with IOL excluding the cost of IOL per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP099,12730.0
1002.0,"Excision Biopsy of lid, conjunctiva, cornea per eye",Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP113,9200.0
1016.0,Punctal plug(Collagen/silicone) per eye,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP127,4000.0
1030.0,Mucous membrane grafting MMG one eyelid,Ophthalmology Procedure,TIER I,NABH,GENERAL WARD,OP141,19000.0
1044.0,Vestibular Evoked Myogenic Potential (VEMP),ENT Investigation,TIER I,NABH,GENERAL WARD,EI010,2750.0
1058.0,Myringoplasty,ENT Procedure,TIER I,NABH,GENERAL WARD,EP007,26125.0
1072.0,Fracture Reduction of Nasal Bone,ENT Procedure,TIER I,NABH,GENERAL WARD,EP021,12730.0
1086.0,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,ENT Procedure,TIER I,NABH,GENERAL WARD,EP035,33250.0
1582.0,Operations for Hydronephrosis Endopyelotomy antegrade,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU018,40850.0
1596.0,Operations for Vesicoureteral Reflux (VUR) -Open,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU032,40850.0
1610.0,Diverticulectomy- Lap/Endoscopic,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU046,50350.0
1624.0,Urethroscopy/ Cystopanendoscopy,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU060,13400.0
1638.0,Circumcision,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU074,12730.0
1652.0,Operations for Hydrocele - Bilateral,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU088,33250.0
1666.0,Donor Nephrectomy (Laparoscopic),Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU102,104500.0
1680.0,Single lumen Subclavian Catheterization,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU116,5000.0
1694.0,Endoscopic Bulking agent Inject (including cost of bulking agent),Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU130,33250.0
1708.0,Resection Bladder Neck Endoscopic / Bladder neck incision / transurethral incision on prostrate,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU144,40850.0
1722.0,Cystoscopy with Retrograde Catheter - Bilateral/RGP,Nephrology And Urology Procedure,TIER I,NABH,GENERAL WARD,NU158,26125.0
1736.0,Repetitive nerve stimulation (RNS)-Decremental response (before and after neostigmine),Neurology Investigation,TIER I,NABH,GENERAL WARD,NI004,1500.0
1750.0,Twist Drill Craniostomy,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS009,40850.0
1764.0,Peripheral Nerve Surgery - Major,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS023,59850.0
1778.0,Spinal Bifida Surgery Major,Neuro-Surgery Procedure,TIER I,NABH,GENERAL WARD,NS037,59850.0
2180.0,Neck Biopsy-Excisional (TMH - Head & Neck) (G1S6),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH006,4500.0
2194.0,Thorax (Trucut Biopsy) (TMH - Thoracic & Paediatric) (G1S20),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH020,4500.0
2208.0,Mandible Curettage (TMH - Head & Neck) (G2S6),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH034,11250.0
2222.0,Internal Stenting (TMH - G.I. Surgery) (G2S20),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH048,11250.0
2236.0,Thoracoscopy-Diagnostic (TMH - Thoracic & Paediatric) (G2S34),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH062,11250.0
2250.0,Microdochectomy (TMH - Breast) (G2S48),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH076,11250.0
2264.0,Pharyngectomy-Partial (TMH - Head & Neck) (G3S13),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH090,18000.0
2278.0,Hemiglossectomy - Peroral (TMH - Head & Neck) (G3S27),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH104,18000.0
2292.0,Gastro-Jejunostomy (TMH - G.I. Surgery) (G3S41),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH118,18000.0
2306.0,Fibula Lower End Reconstruction (TMH - Bone & Soft Tissue) (G3S55),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH132,18000.0
2320.0,Ulna Lower End Excision (TMH - Bone & Soft Tissue) (G3S69),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH146,18000.0
2334.0,Gastric By-Pass (TMH - Thoracic & Paediatric) (G3S83),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH160,18000.0
2348.0,Burst Abdomen Suturing (TMH - Thoracic & Paediatric) (G3S97),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH174,18000.0
2362.0,Cystoscopy + DJ Stenting (TMH - Genitourinary / Gynaecology) (G3S111),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH188,18000.0
2376.0,Buccal/Mucosa Composite Resection/Commando (TMH - Head & Neck) (G4S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH202,22500.0
2390.0,Laryngectomy - Total (TMH - Head & Neck) (G4S17),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH216,22500.0
2404.0,Colectomy Subtotal (TMH - G.I. Surgery) (G4S31),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH230,22500.0
2418.0,Amputation - Forequarter (TMH - Bone & Soft Tissue) (G4S45),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH244,22500.0
2432.0,Radius Lower End Excision + Wrist Fusion (TMH - Bone & Soft Tissue) (G4S59),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH258,22500.0
2446.0,Hemipelvectomy (Paediatric) (TMH - Thoracic & Paediatric) (G4S73),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH272,22500.0
2460.0,Vulvectomy - Radical (TMH - Genitourinary / Gynaecology) (G4S87),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH286,22500.0
2474.0,Excision of Transnasal Angiofibroma (TMH - Head & Neck) (G5S3),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH300,31500.0
2488.0,Knee Arthrodesis with Turnoplasty/Allograft (TMH - Bone & Soft Tissue) (G5S17),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH314,31500.0
2502.0,Nephrectomy - Radical + IVC Thrombectomy (TMH - Genitourinary / Gynaecology) (G5S31),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH328,31500.0
2516.0,Nephrectomy - Radical (TMH - Genitourinary / Gynaecology) (G5S45),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH342,31500.0
2530.0,Abdominosacral Resection (TMH - G.I. Surgery) (G6S9),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH356,40500.0
2544.0,Thoracoscopic Lobectomy/ Pneumonectomy (TMH - Thoracic & Paediatric) (G6S23),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH370,40500.0
2558.0,Laparoscopic Retroperitoneal Node Dissection (TMH - Genitourinary / Gynaecology) (G6S38),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH384,40500.0
2572.0,Groin Node Dissection (Bilateral) (TMH - Genitourinary / Gynaecology) (G6S52),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH398,40500.0
2586.0,Minor OT - Drugs/Consumables (Without GA),Cancer Surgery,TIER I,NABH,GENERAL WARD,TMH412,450.0
